Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
NYMT,"New York Mortgage Trust, Inc.",6.3,1088895686,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nymt
NYMTN,"New York Mortgage Trust, Inc.",24.18,130572000,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nymtn
NYMTO,"New York Mortgage Trust, Inc.",24.95,89820000,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nymto
NYMTP,"New York Mortgage Trust, Inc.",24.62,73860000,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/nymtp
NEWA,"Newater Technology, Inc.",7.62,82364580,n/a,2017,Basic Industries,Miscellaneous,https://www.nasdaq.com/symbol/newa
NWL,Newell Brands Inc.,14.38,6083929068,n/a,n/a,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/nwl
NLNK,NewLink Genetics Corporation,1.71,63742134.42,n/a,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nlnk
NMRK,"Newmark Group, Inc.",8.52,1517905069,n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/nmrk
NWS,News Corporation,12.49,7306097055,n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/nws
NWSA,News Corporation,12.42,7265150154,n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/nwsa
NEWT,Newtek Business Services Corp.,20.92,398707188.1,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/newt
NEWTI,Newtek Business Services Corp.,25.68,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/newti
NEWTZ,Newtek Business Services Corp.,26.57,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/newtz
NXST,"Nexstar Media Group, Inc.",117.05,5394962202,n/a,2003,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/nxst
NEXT,NextDecade Corporation,5.55,610698545.7,n/a,2015,Public Utilities,Oil & Gas Production,https://www.nasdaq.com/symbol/next
NXGN,"NextGen Healthcare, Inc.",18.79,1215654995,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/nxgn
BIMI,NF Energy Saving Corporation,3.925,29725159.33,n/a,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/bimi
NGM,"NGM Biopharmaceuticals, Inc.",15.95,1036649611,n/a,2019,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ngm
NODK,"NI Holdings, Inc.",16.03,356018269,n/a,2017,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nodk
EGOV,NIC Inc.,17.26,1165524115,n/a,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/egov
NICE,NICE Ltd,137.86,5784896622,41962111,n/a,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/nice
NICK,"Nicholas Financial, Inc.",8.95,70793139.6,n/a,n/a,Finance,Finance Companies,https://www.nasdaq.com/symbol/nick
NCBS,Nicolet Bankshares Inc.,61.05,575762550,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ncbs
NITE,Nightstar Therapeutics plc,25.56,370534987.4,14496674,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/nite
NIHD,"NII Holdings, Inc.",1.96,198700817.3,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/nihd
NIU,Niu Technologies,8.61,60270000,7000000,2018,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/niu
LASR,"nLIGHT, Inc.",26.13,965066528,n/a,2018,Technology,Semiconductors,https://www.nasdaq.com/symbol/lasr
NMIH,NMI Holdings Inc,28.08,1894663911,n/a,2013,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nmih
NNBR,"NN, Inc.",9.04,382997327.4,n/a,1994,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/nnbr
NDLS,Noodles & Company,7.15,314121228.9,n/a,2013,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/ndls
